espacialidades,nd,ev,mi,ps60,ql,pib,rp,gi,p,vp,fc18,sc25,eae,t18,pda,pdba,pdcl
Mendes,Outros,73.36,16.4,79.76,0.3755278604078191,80157.0784470985,649.4,0.48,8.63,27.33,61.07,8.28,9.75,5.74,93.4,94.13,96.81
Mesquita,T.Desenvolvimento,75.31,13.97,82.76,0.605883334254779,684185.678114544,640.37,0.47,9.13,27.3,66.24,7.56,9.51,3.6,96.45,96.73,98.67
Miguel Pereira,Outros,74.68,14.5,81.71,0.21507572160645333,147687.348282517,801.63,0.55,7.89,23.59,56.12,10.49,9.28,7.21,90.41,96.66,99.24
Miracema,C.Vicioso,73.32,16.5,79.7,0.8514543757653235,114820.678923716,608.62,0.5,12.53,32.42,56.91,6.61,8.78,11.43,97.75,98.6,99.36
Natividade,Outros,73.36,16.4,79.75,0.45205090105447227,68757.5176267029,653.23,0.52,10.15,32.47,52.95,10.0,10.19,11.88,97.52,98.28,98.92
Nilópolis,Outros,73.99,15.75,80.81,0.4219099468802939,744688.429916887,755.26,0.45,5.15,19.04,71.47,9.2,9.75,2.22,98.61,96.98,99.56
Niterói,C.Virtuoso,76.23,12.91,84.14,0.5797103361841566,5003722.52284851,2000.29,0.59,3.34,11.59,79.35,33.68,9.68,2.34,98.88,96.6,98.63
Nova Friburgo,Outros,75.77,13.21,83.35,1.995589325551945,1265335.45472436,894.75,0.51,4.08,15.12,55.03,11.77,9.03,5.27,89.24,95.04,99.54
Nova Iguaçu,C.Vicioso,74.08,15.35,81.73,0.7637146165153389,4237400.67261313,591.0,0.48,10.56,30.43,60.37,6.5,9.25,4.89,96.48,91.29,95.39
Paracambi,C.Vicioso,73.73,15.9,80.31,0.747582165192113,222253.155240733,580.49,0.44,9.53,27.68,59.69,6.53,9.17,5.81,89.26,95.78,99.51
Paraíba do Sul,C.Vicioso,73.7,15.9,80.26,1.1005293637004765,237412.096288707,613.56,0.5,10.9,31.75,52.66,6.77,9.03,6.42,97.22,97.96,97.79
Paraty,Outros,75.52,13.4,82.91,0.06922799253047959,282355.656659144,734.36,0.52,9.5,25.41,51.16,9.21,7.92,8.77,81.38,94.08,98.3
Paty do Alferes,C.Vicioso,73.34,16.4,79.73,0.7901263300785354,122259.419375903,562.52,0.56,16.13,39.63,38.91,5.29,8.5,13.1,89.55,93.56,97.11
Petrópolis,Outros,75.79,12.86,83.23,1.2941932549523474,3151555.86505675,922.49,0.55,5.94,20.7,56.59,12.08,9.36,4.19,77.38,97.05,99.21
Pinheiral,C.Vicioso,73.03,16.9,79.26,0.8551981520098578,92718.7955381602,657.99,0.51,10.4,29.93,57.1,8.28,8.46,5.61,97.47,98.62,99.64
Piraí,C.Vicioso,73.16,16.7,79.46,1.515152253673052,466951.253577303,678.3,0.5,9.58,27.89,54.07,9.57,9.06,7.6,96.15,96.88,99.65
Porciúncula,C.Vicioso,73.11,16.8,79.38,0.8441317496051964,83957.9882071004,615.63,0.56,18.05,39.52,47.19,8.69,9.14,12.25,93.13,94.22,98.54
Porto Real,C.Vicioso,74.01,15.5,80.73,3.8569380933761437,2150806.28042137,577.07,0.42,6.44,24.8,53.02,6.19,8.97,6.74,99.11,97.86,98.87
Quatis,C.Vicioso,73.38,16.4,79.79,0.3939094518348436,83080.139276312,535.96,0.42,10.71,29.04,49.64,7.49,8.16,7.17,97.46,97.91,100.0
Queimados,C.Vicioso,73.58,16.67,80.3,0.8486476946104611,745393.954088888,484.4,0.43,12.92,33.68,53.57,3.75,8.78,6.0,97.97,92.38,93.32
Quissamã,C.Vicioso,74.23,15.2,81.04,0.33680864450638537,1388981.49304508,616.31,0.53,12.4,33.8,51.14,9.55,9.11,9.43,95.54,97.67,99.08
Resende,T.Desenvolvimento,75.31,13.85,82.71,1.1369317709421145,2863329.3619562,915.21,0.52,5.28,18.54,66.35,15.35,9.62,4.44,98.28,98.44,99.76
Rio Bonito,C.Vicioso,74.16,15.2,80.95,0.38778456078188317,382387.484984947,643.54,0.48,7.94,27.86,52.47,7.02,8.89,8.4,92.56,91.25,98.65
Rio Claro,C.Vicioso,73.07,16.9,79.32,0.1393950799040552,88579.228714121,623.62,0.5,10.76,31.43,41.71,6.72,8.99,10.84,82.14,93.07,98.27
Rio das Flores,C.Vicioso,74.32,15.0,81.18,0.5230908703931507,148434.095001981,499.13,0.46,10.93,33.94,46.41,6.13,8.86,9.26,91.9,98.2,99.72
Rio das Ostras,C.Virtuoso,76.26,10.96,83.2,0.35681370363454035,2731412.96359976,1051.19,0.53,5.26,17.08,66.52,13.47,9.18,3.92,90.61,91.9,99.81
Rio de Janeiro,C.Virtuoso,75.69,13.02,83.1,0.5162478512733956,84888946.3639294,1492.63,0.62,5.01,16.41,72.19,21.26,9.39,2.98,99.02,97.39,99.17
Santa Maria Madalena,C.Vicioso,72.79,17.3,78.9,0.29719249342490595,55561.990370884,522.66,0.48,16.13,37.97,41.4,4.35,8.59,13.68,69.06,86.09,99.56
Santo Antônio de Pádua,C.Vicioso,73.33,16.5,79.71,1.2600265586644066,247198.443997176,657.53,0.51,8.58,29.62,51.59,8.56,8.97,9.8,95.03,96.78,97.99
São Fidélis,C.Vicioso,72.21,18.2,78.02,0.42335339722579224,190892.390794246,567.23,0.47,12.22,31.55,48.77,5.83,9.47,10.76,92.33,98.66,98.87
São Francisco de Itabapoana,C.Vicioso,72.44,17.8,78.36,0.29992296274136815,275020.347382834,375.49,0.49,23.92,52.09,34.84,3.57,8.2,20.08,95.84,84.87,94.59
São Gonçalo,Outros,74.96,14.55,82.29,0.8699934774555397,4614035.68553947,669.3,0.43,6.19,21.16,64.51,7.12,9.08,3.74,92.75,91.75,93.71
São João da Barra,C.Vicioso,73.02,16.9,79.24,0.29860884555877526,1554872.81930649,570.38,0.48,11.99,33.45,42.63,4.66,8.39,10.38,97.81,96.95,98.93
São João de Meriti,C.Vicioso,74.87,14.56,82.12,0.4818166728775237,2153451.19948948,597.57,0.43,7.91,25.79,61.42,5.25,9.22,3.54,97.73,95.46,97.82
São José de Ubá,C.Vicioso,72.88,17.2,79.04,0.2537340001186695,32919.6648687772,410.44,0.47,20.63,47.54,34.89,5.64,8.92,15.64,88.01,96.54,99.73
São José do Vale do Rio Preto,C.Vicioso,73.33,16.5,79.71,0.8781340766122304,288670.325270055,517.99,0.47,14.13,35.15,36.74,4.83,8.71,10.79,90.17,99.32,99.52
São Pedro da Aldeia,C.Vicioso,73.03,16.9,79.26,0.29850337180621245,419778.398757908,710.04,0.5,9.11,27.34,57.81,8.46,8.98,6.53,88.41,91.94,97.68
São Sebastião do Alto,C.Vicioso,72.35,18.0,78.24,0.14544177090770735,44210.5588133857,423.88,0.42,14.3,40.67,36.24,3.02,8.47,15.28,93.04,96.2,98.4
Sapucaia,C.Vicioso,73.26,16.6,79.61,0.8999752189461028,180045.505976556,558.94,0.5,14.99,33.26,43.18,6.56,8.46,10.64,91.94,95.7,98.65
Saquarema,C.Vicioso,73.26,16.6,79.61,0.2505131379506488,422117.5389406,681.62,0.52,8.5,29.81,56.55,8.0,8.62,6.65,93.43,90.73,95.78
Seropédica,C.Vicioso,73.3,16.5,79.67,0.7560050809302692,380401.769716977,604.82,0.47,9.95,28.32,57.19,7.03,9.28,6.28,98.72,97.8,94.9
Silva Jardim,C.Vicioso,72.6,17.6,78.61,0.35609429217971444,85900.1035789529,476.99,0.49,17.33,41.9,40.64,4.0,8.24,14.19,96.17,74.75,98.41
Sumidouro,C.Vicioso,72.78,17.3,78.89,1.202721921694961,85712.6892599504,479.46,0.47,16.04,38.32,25.74,3.13,7.33,17.09,69.94,86.39,97.19
Tanguá,C.Vicioso,72.55,17.7,78.54,1.1747156069931954,129689.835984402,440.84,0.42,14.37,38.3,40.85,3.72,8.61,9.54,93.03,89.83,96.99
Teresópolis,Outros,76.27,13.29,84.39,0.7092943466856124,1233351.78789563,859.79,0.56,7.06,23.18,53.07,12.3,8.82,6.87,83.86,97.71,98.83
Trajano de Morais,C.Vicioso,73.77,15.8,80.38,0.24137064928829952,40883.1006260662,510.96,0.51,17.96,42.73,37.66,3.41,8.88,15.4,65.79,94.39,93.11
Três Rios,C.Vicioso,73.03,16.9,79.26,1.3823031494504405,773363.069257165,726.83,0.52,9.23,27.07,59.74,10.37,8.95,5.77,98.42,98.25,98.17
Valença,Outros,75.85,12.58,83.22,0.9763871551397231,440352.54426436,675.62,0.52,10.17,29.7,58.06,12.13,8.81,6.34,94.92,97.61,99.28
Varre-Sai,C.Vicioso,73.58,16.1,80.08,0.2090725456798293,42827.0306895444,418.62,0.44,13.16,43.7,39.4,4.72,8.37,12.31,91.37,96.64,100.0
Vassouras,C.Vicioso,73.79,15.8,80.4,0.4646761408574984,180578.779458816,701.06,0.52,11.32,27.16,56.7,13.28,8.85,8.07,94.55,92.19,99.09
Volta Redonda,Outros,74.98,14.15,82.17,1.1078154504824727,4092057.06348714,920.51,0.5,4.77,16.69,67.18,15.23,9.82,3.47,99.47,99.13,99.84
